Local Government Area,Average of Median Price,Median of Median Price
Banyule,842190.4761904762,722000.0
Bayside,1336400.0,1395500.0
Boroondara,1754916.6666666667,1738000.0
Brimbank,493473.6842105263,490000.0
Cardinia,492590.9090909091,477500.0
Casey,528480.0,457000.0
Darebin,763142.8571428572,777000.0
Frankston,529444.4444444445,465000.0
Glen Eira,1281769.2307692308,1300000.0
Greater Dandenong,541857.1428571428,520000.0
Hobsons Bay,702083.3333333334,742500.0
Hume,439071.4285714286,405000.0
Kingston,749941.1764705882,750000.0
Knox,678166.6666666666,662000.0
Manningham,1093916.6666666667,1057500.0
Maribyrnong,704000.0,707500.0
Maroondah,687363.6363636364,700000.0
Melbourne,1018153.8461538461,824000.0
Melton,397357.14285714284,408000.0
Monash,954909.0909090909,895000.0
Moonee Valley,859500.0,867500.0
Moreland,640636.3636363636,600000.0
Mornington Peninsula,784866.6666666666,702500.0
Nillumbik,746461.5384615385,703000.0
Port Phillip,1450000.0,1414000.0
Stonnington,2161857.1428571427,1970000.0
Whitehorse,1019333.3333333334,1011500.0
Whittlesea,474400.0,444500.0
Wyndham,475250.0,445000.0
Yarra,1066818.1818181819,1051000.0
Yarra Ranges,534083.3333333334,550000.0
