,Local Government Area,Suburb Name,ID,Postcode,2016 Median Sold Price
0,Melbourne,Carlton,8217,3053,726000
1,Melbourne,Carlton North,8247,3054,1246000
2,Melbourne,Docklands,12117,3008,1520000
3,Melbourne,East Melbourne,13127,3002,1825000
4,Melbourne,Flemington,14617,3031,815000
5,Melbourne,Kensington,21037,3031,824000
6,Melbourne,Melbourne,25807,3000,602000
7,Melbourne,Melbourne West,43457,3003,780000
8,Melbourne,North Melbourne,31037,3051,925000
9,Melbourne,Parkville,32107,3052,645000
10,Melbourne,Port Melbourne,33267,3207,1268000
11,Melbourne,South Yarra,36877,3141,1400000
12,Melbourne,Southbank,36897,3006,660000
13,Port Phillip,Albert Park,797,3206,1723000
14,Port Phillip,Balaclava,2197,3183,1170000
15,Port Phillip,Elwood,13717,3184,1600000
16,Port Phillip,Melbourne,25807,3000,602000
17,Port Phillip,Middle Park,26507,3206,1950000
18,Port Phillip,Port Melbourne,33267,3207,1268000
19,Port Phillip,Ripponlea,34527,3185,1460000
20,Port Phillip,South Melbourne,36797,3205,1200000
21,Port Phillip,Southbank,36897,3006,660000
22,Port Phillip,St Kilda,37407,3182,965000
23,Port Phillip,St Kilda East,37447,3183,1368000
24,Port Phillip,St Kilda West,37507,3182,1913000
25,Port Phillip,Windsor,44117,3181,1151000
26,Stonnington,Armadale,1587,3143,2015000
27,Stonnington,Glen Iris,15907,3146,1784000
28,Stonnington,Kooyong,22117,3144,3275000
29,Stonnington,Malvern,25047,3144,1970000
30,Stonnington,Malvern East,25077,3145,1488000
31,Stonnington,Prahran,33397,3181,1303000
32,Stonnington,South Yarra,36877,3141,1400000
33,Stonnington,Toorak,40457,3142,3298000
34,Stonnington,Windsor,44117,3181,1151000
35,Yarra,Abbotsford,627,3067,893000
36,Yarra,Alphington,1047,3078,1250000
37,Yarra,Burnley,7117,3121,933000
38,Yarra,Carlton North,8247,3054,1246000
39,Yarra,Clifton Hill,9437,3068,1164000
40,Yarra,Collingwood,9987,3066,841000
41,Yarra,Cremorne,10737,3121,1000000
42,Yarra,Fairfield,14197,3078,1110000
43,Yarra,Fitzroy,14527,3065,1051000
