,S.No,Local Government Area,Year,Adult_Population,Suburb Name,Postcode,2016 Median Sold Price
0,20660,Banyule,2016.0,"99,850",Bellfield,3081,720000.0
1,20660,Banyule,2016.0,"99,850",Briar Hill,3088,665000.0
2,20660,Banyule,2016.0,"99,850",Bundoora,3083,626000.0
3,20660,Banyule,2016.0,"99,850",Eaglemont,3084,1800000.0
4,20660,Banyule,2016.0,"99,850",Eltham,3095,765000.0
5,20660,Banyule,2016.0,"99,850",Eltham North,3095,803000.0
6,20660,Banyule,2016.0,"99,850",Greensborough,3088,650000.0
7,20660,Banyule,2016.0,"99,850",Heidelberg,3084,1014000.0
8,20660,Banyule,2016.0,"99,850",Heidelberg Heights,3081,675000.0
9,20660,Banyule,2016.0,"99,850",Heidelberg West,3081,580000.0
10,20660,Banyule,2016.0,"99,850",Ivanhoe,3079,1050000.0
11,20660,Banyule,2016.0,"99,850",Ivanhoe East,3079,1653000.0
12,20660,Banyule,2016.0,"99,850",Lower Plenty,3093,813000.0
13,20660,Banyule,2016.0,"99,850",Macleod,3085,754000.0
14,20660,Banyule,2016.0,"99,850",Montmorency,3094,722000.0
15,20660,Banyule,2016.0,"99,850",Rosanna,3084,885000.0
16,20660,Banyule,2016.0,"99,850",Saint Helena,3088,720000.0
17,20660,Banyule,2016.0,"99,850",Viewbank,3084,839000.0
18,20660,Banyule,2016.0,"99,850",Watsonia,3087,624000.0
19,20660,Banyule,2016.0,"99,850",Watsonia North,3087,645000.0
20,20660,Banyule,2016.0,"99,850",Yallambie,3085,683000.0
21,20910,Bayside,2016.0,"78,669",Beaumaris,3193,1330000.0
22,20910,Bayside,2016.0,"78,669",Black Rock,3193,1461000.0
23,20910,Bayside,2016.0,"78,669",Brighton,3186,2235000.0
24,20910,Bayside,2016.0,"78,669",Brighton East,3187,1560000.0
25,20910,Bayside,2016.0,"78,669",Cheltenham,3192,800000.0
26,20910,Bayside,2016.0,"78,669",Hampton,3188,1660000.0
27,20910,Bayside,2016.0,"78,669",Hampton East,3188,1050000.0
28,20910,Bayside,2016.0,"78,669",Highett,3190,920000.0
29,20910,Bayside,2016.0,"78,669",Moorabbin,3189,865000.0
30,20910,Bayside,2016.0,"78,669",Sandringham,3191,1483000.0
31,21110,Boroondara,2016.0,"138,430",Ashburton,3147,1500000.0
32,21110,Boroondara,2016.0,"138,430",Balwyn,3103,2000000.0
33,21110,Boroondara,2016.0,"138,430",Balwyn North,3104,1800000.0
34,21110,Boroondara,2016.0,"138,430",Burwood,3125,1124000.0
35,21110,Boroondara,2016.0,"138,430",Camberwell,3124,1850000.0
36,21110,Boroondara,2016.0,"138,430",Canterbury,3126,2349000.0
37,21110,Boroondara,2016.0,"138,430",Hawthorn,3122,1642000.0
38,21110,Boroondara,2016.0,"138,430",Hawthorn East,3123,1611000.0
39,21110,Boroondara,2016.0,"138,430",Kew,3101,2015000.0
40,21110,Boroondara,2016.0,"138,430",Kew East,3102,1654000.0
41,21110,Boroondara,2016.0,"138,430",Mont Albert,3127,1838000.0
42,21110,Boroondara,2016.0,"138,430",Surrey Hills,3127,1676000.0
43,21180,Brimbank,2016.0,"158,457",Albanvale,3021,370000.0
44,21180,Brimbank,2016.0,"158,457",Albion,3020,521000.0
45,21180,Brimbank,2016.0,"158,457",Ardeer,3022,428000.0
46,21180,Brimbank,2016.0,"158,457",Cairnlea,3023,564000.0
47,21180,Brimbank,2016.0,"158,457",Deer Park,3023,400000.0
48,21180,Brimbank,2016.0,"158,457",Delahey,3037,406000.0
49,21180,Brimbank,2016.0,"158,457",Derrimut,3026,499000.0
50,21180,Brimbank,2016.0,"158,457",Kealba,3021,420000.0
51,21180,Brimbank,2016.0,"158,457",Keilor,3036,731000.0
52,21180,Brimbank,2016.0,"158,457",Keilor Downs,3038,490000.0
53,21180,Brimbank,2016.0,"158,457",Keilor Lodge,3038,576000.0
54,21180,Brimbank,2016.0,"158,457",Keilor Park,3042,562000.0
55,21180,Brimbank,2016.0,"158,457",Kings Park,3021,375000.0
56,21180,Brimbank,2016.0,"158,457",St Albans,3021,445000.0
57,21180,Brimbank,2016.0,"158,457",Sunshine,3020,589000.0
58,21180,Brimbank,2016.0,"158,457",Sunshine North,3020,510000.0
59,21180,Brimbank,2016.0,"158,457",Sunshine West,3020,476000.0
60,21180,Brimbank,2016.0,"158,457",Sydenham,3037,433000.0
61,21180,Brimbank,2016.0,"158,457",Taylors Lakes,3038,581000.0
62,21450,Cardinia,2016.0,"72,402",Avonsleigh,3782,585000.0
63,21450,Cardinia,2016.0,"72,402",Beaconsfield,3807,585000.0
64,21450,Cardinia,2016.0,"72,402",Beaconsfield Upper,3808,740000.0
65,21450,Cardinia,2016.0,"72,402",Bunyip,3815,445000.0
66,21450,Cardinia,2016.0,"72,402",Cockatoo,3781,470000.0
67,21450,Cardinia,2016.0,"72,402",Emerald,3782,580000.0
68,21450,Cardinia,2016.0,"72,402",Garfield,3814,404000.0
69,21450,Cardinia,2016.0,"72,402",Gembrook,3783,589000.0
70,21450,Cardinia,2016.0,"72,402",Koo Wee Rup,3981,350000.0
71,21450,Cardinia,2016.0,"72,402",Lang Lang,3984,320000.0
72,21450,Cardinia,2016.0,"72,402",Longwarry,3816,314000.0
73,21450,Cardinia,2016.0,"72,402",Maryknoll,3812,499000.0
74,21450,Cardinia,2016.0,"72,402",Menzies Creek,3159,615000.0
75,21450,Cardinia,2016.0,"72,402",Nar Nar Goon,3812,550000.0
76,21450,Cardinia,2016.0,"72,402",Nar Nar Goon North,3812,659000.0
77,21450,Cardinia,2016.0,"72,402",Nyora,3987,380000.0
78,21450,Cardinia,2016.0,"72,402",Officer,3809,430000.0
79,21450,Cardinia,2016.0,"72,402",Pakenham,3810,399000.0
80,21450,Cardinia,2016.0,"72,402",Pakenham Upper,3810,758000.0
81,21450,Cardinia,2016.0,"72,402",Tenby Point,3984,265000.0
