Suburb Name,Adult_Population,Local Government Area,Postcode,2016 Median Sold Price
Koo Wee Rup,"5,957",Cardinia,3981,350000
Dromana,"9,434",Mornington Peninsula,3936,590000
Mount Martha,"14,578",Mornington Peninsula,3934,770000
Mornington,"20,165",Mornington Peninsula,3931,661000
Mount Eliza,"14,109",Mornington Peninsula,3930,875000
Flinders,"4,563",Mornington Peninsula,3929,1350000
Langwarrin,"19,182",Frankston,3910,465000
Narre Warren North,"6,368",Casey,3804,885000
Hallam,"8,651",Casey,3803,440000
Mount Evelyn,"7,752",Yarra Ranges,3796,533000
Montrose,"5,527",Yarra Ranges,3765,610000
Kinglake,"3,073",Nillumbik,3763,413000
Mernda,"12,001",Whittlesea,3754,424000
Wollert,"6,585",Whittlesea,3750,443000
Sunbury,"31,617",Hume,3429,384000
Port Melbourne,"13,961",Melbourne,3207,1268000
South Melbourne,"10,249",Port Phillip,3205,1200000
Carrum Downs,"16,537",Frankston,3201,392000
Frankston North,"15,837",Frankston,3200,330000
Frankston,"18,922",Frankston,3199,435000
Mentone,"10,861",Kingston,3194,860000
Beaumaris,"10,950",Bayside,3193,1330000
Hampton,"14,112",Bayside,3188,1660000
Brighton East,"12,606",Bayside,3187,1560000
Brighton,"13,092",Bayside,3186,2235000
Elsternwick,"9,263",Glen Eira,3185,1500000
Elwood,"13,117",Port Phillip,3184,1600000
Windsor,"6,110",Port Phillip,3181,1151000
Dandenong North,"18,405",Greater Dandenong,3175,500000
Noble Park North,"6,192",Greater Dandenong,3174,520000
Keysborough,"20,839",Greater Dandenong,3173,614000
Dingley Village,"8,463",Kingston,3172,697000
Springvale,"18,286",Greater Dandenong,3171,631000
Mulgrave,"16,027",Monash,3170,758000
Clayton,"20,332",Monash,3168,890000
Carnegie,"15,376",Glen Eira,3163,1250000
Lysterfield,"5,301",Yarra Ranges,3156,831000
Boronia,"18,343",Knox,3155,580000
The Basin,"3,396",Knox,3154,550000
Bayswater North,"9,580",Maroondah,3153,560000
Wantirna South,"15,194",Knox,3152,850000
Burwood East,"8,808",Whitehorse,3151,988000
Wheelers Hill,"16,658",Monash,3150,1000000
Armadale,"7,745",Stonnington,3143,2015000
Toorak,"11,588",Stonnington,3142,3298000
Mooroolbark,"17,696",Yarra Ranges,3138,567000
Kilsyth,"7,539",Maroondah,3137,555000
Ringwood North,"7,692",Maroondah,3134,790000
Vermont,"8,256",Maroondah,3133,857000
Mitcham,"52,364",Whitehorse,3132,852000
Forest Hill,"8,814",Whitehorse,3131,879000
Blackburn,"17,428",Whitehorse,3130,1175000
Box Hill North,"14,417",Whitehorse,3129,1050000
Box Hill,"17,070",Whitehorse,3128,1035000
Canterbury,"108,033",Boroondara,3126,2349000
Burwood,"10,864",Boroondara,3125,1124000
Camberwell,"17,603",Boroondara,3124,1850000
Hawthorn East,"12,791",Boroondara,3123,1611000
Hawthorn,"19,970",Boroondara,3122,1642000
Chirnside Park,"8,127",Yarra Ranges,3116,590000
Doncaster,"17,821",Manningham,3108,1200000
Templestowe Lower,"11,320",Manningham,3107,1040000
Templestowe,"14,028",Manningham,3106,1261000
Bulleen,"9,377",Manningham,3105,1075000
Balwyn North,"16,453",Boroondara,3104,1800000
Balwyn,"13,306",Boroondara,3103,2000000
Kew East,"5,194",Boroondara,3102,1654000
Kew,"20,754",Boroondara,3101,2015000
Hurstbridge,"2,735",Nillumbik,3099,561000
Eltham,"18,361",Banyule,3095,765000
Lalor,"18,625",Whittlesea,3075,460000
Thomastown,"16,974",Whittlesea,3074,446000
Thornbury,"15,490",Darebin,3071,915000
Northcote,"20,648",Darebin,3070,1040000
Fitzroy North,"10,750",Moreland,3068,1157000
Abbotsford,"7,543",Yarra,3067,893000
Collingwood,"7,535",Yarra,3066,841000
Fitzroy,"9,250",Yarra,3065,1051000
Fawkner,"10,800",Hume,3060,525000
Coburg North,"6,319",Moreland,3058,663000
Brunswick East,"9,774",Moreland,3057,815000
Brunswick,"22,769",Moreland,3056,850000
Brunswick West,"11,869",Moreland,3055,795000
Carlton,"17,883",Melbourne,3053,726000
Parkville,"6,958",Moreland,3052,645000
North Melbourne,"18,678",Melbourne,3051,925000
Meadow Heights,"11,413",Hume,3048,386000
Glenroy,"18,209",Moreland,3046,501000
Pascoe Vale,"19,288",Moreland,3044,600000
Tullamarine,"5,499",Moreland,3043,455000
Moonee Ponds,"11,985",Moonee Valley,3039,915000
Hillside,"15,356",Melton,3037,488000
Keilor,"48,500",Brimbank,3036,731000
Keilor East,"21,863",Moonee Valley,3033,672000
Ascot Vale,"12,087",Moonee Valley,3032,905000
Tarneit,"24,600",Wyndham,3029,410000
Altona Meadows,"15,956",Hobsons Bay,3028,470000
Altona North,"11,491",Hobsons Bay,3025,650000
Wyndham Vale,"16,894",Wyndham,3024,345000
Cairnlea,"7,470",Brimbank,3023,564000
Sunshine,"8,110",Brimbank,3020,589000
Braybrook,"15,098",Maribyrnong,3019,555000
Williamstown,"12,527",Hobsons Bay,3016,1100000
Yarraville,"12,012",Maribyrnong,3013,800000
Docklands,"10,177",Melbourne,3008,1520000
Southbank,"17,773",Port Phillip,3006,660000
East Melbourne,"4,667",Melbourne,3002,1825000
Melbourne,"36,130",Port Phillip,3000,602000
