,Local Government Area,Suburb Name,ID,Postcode,2016 Median Sold Price
0,Melbourne,Carlton,8217,3053,726000.0
1,Melbourne,Carlton North,8247,3054,1246000.0
2,Melbourne,Docklands,12117,3008,1520000.0
3,Melbourne,East Melbourne,13127,3002,1825000.0
4,Melbourne,Flemington,14617,3031,815000.0
5,Melbourne,Kensington,21037,3031,824000.0
6,Melbourne,Melbourne,25807,3000,602000.0
7,Melbourne,Melbourne West,43457,3003,780000.0
8,Melbourne,North Melbourne,31037,3051,925000.0
9,Melbourne,Parkville,32107,3052,645000.0
10,Melbourne,Port Melbourne,33267,3207,1268000.0
11,Melbourne,South Yarra,36877,3141,1400000.0
12,Melbourne,Southbank,36897,3006,660000.0
13,Port Phillip,Albert Park,797,3206,1723000.0
14,Port Phillip,Balaclava,2197,3183,1170000.0
15,Port Phillip,Elwood,13717,3184,1600000.0
16,Port Phillip,Middle Park,26507,3206,1950000.0
17,Port Phillip,Ripponlea,34527,3185,1460000.0
18,Port Phillip,South Melbourne,36797,3205,1200000.0
19,Port Phillip,St Kilda,37407,3182,965000.0
20,Port Phillip,St Kilda East,37447,3183,1368000.0
21,Port Phillip,St Kilda West,37507,3182,1913000.0
22,Port Phillip,Windsor,44117,3181,1151000.0
23,Stonnington,Armadale,1587,3143,2015000.0
24,Stonnington,Glen Iris,15907,3146,1784000.0
25,Stonnington,Kooyong,22117,3144,3275000.0
26,Stonnington,Malvern,25047,3144,1970000.0
27,Stonnington,Malvern East,25077,3145,1488000.0
28,Stonnington,Prahran,33397,3181,1303000.0
29,Stonnington,Toorak,40457,3142,3298000.0
30,Yarra,Abbotsford,627,3067,893000.0
31,Yarra,Alphington,1047,3078,1250000.0
32,Yarra,Burnley,7117,3121,933000.0
33,Yarra,Clifton Hill,9437,3068,1164000.0
34,Yarra,Collingwood,9987,3066,841000.0
35,Yarra,Cremorne,10737,3121,1000000.0
36,Yarra,Fairfield,14197,3078,1110000.0
37,Yarra,Fitzroy,14527,3065,1051000.0
38,Yarra,Fitzroy North,14567,3068,1157000.0
39,Yarra,Princes Hill,33537,3054,1330000.0
40,Yarra,Richmond,34297,3121,1006000.0
41,Banyule,Bellfield,3787,3081,720000.0
42,Banyule,Briar Hill,5807,3088,665000.0
43,Banyule,Bundoora,6877,3083,626000.0
44,Banyule,Eaglemont,13037,3084,1800000.0
45,Banyule,Eltham,13677,3095,765000.0
46,Banyule,Eltham North,13687,3095,803000.0
47,Banyule,Greensborough,17297,3088,650000.0
48,Banyule,Heidelberg,18387,3084,1014000.0
49,Banyule,Heidelberg Heights,18397,3081,675000.0
50,Banyule,Heidelberg West,18427,3081,580000.0
51,Banyule,Ivanhoe,19767,3079,1050000.0
52,Banyule,Ivanhoe East,19787,3079,1653000.0
53,Banyule,Lower Plenty,24457,3093,813000.0
54,Banyule,Macleod,24687,3085,754000.0
55,Banyule,Montmorency,27387,3094,722000.0
56,Banyule,Rosanna,34817,3084,885000.0
57,Banyule,Saint Helena,37357,3088,720000.0
58,Banyule,Viewbank,41617,3084,839000.0
59,Banyule,Watsonia,42887,3087,624000.0
60,Banyule,Watsonia North,42897,3087,645000.0
61,Banyule,Yallambie,45427,3085,683000.0
62,Bayside,Beaumaris,3547,3193,1330000.0
63,Bayside,Black Rock,4627,3193,1461000.0
64,Bayside,Brighton,5957,3186,2235000.0
65,Bayside,Brighton East,5997,3187,1560000.0
66,Bayside,Cheltenham,8967,3192,800000.0
67,Bayside,Hampton,17737,3188,1660000.0
68,Bayside,Hampton East,17757,3188,1050000.0
69,Bayside,Highett,18717,3190,920000.0
70,Bayside,Moorabbin,27577,3189,865000.0
71,Bayside,Sandringham,35637,3191,1483000.0
72,Boroondara,Ashburton,1787,3147,1500000.0
73,Boroondara,Balwyn,2557,3103,2000000.0
74,Boroondara,Balwyn North,2597,3104,1800000.0
75,Boroondara,Burwood,7237,3125,1124000.0
76,Boroondara,Camberwell,7677,3124,1850000.0
77,Boroondara,Canterbury,7907,3126,2349000.0
78,Boroondara,Hawthorn,18087,3122,1642000.0
79,Boroondara,Hawthorn East,18117,3123,1611000.0
80,Boroondara,Kew,21137,3101,2015000.0
81,Boroondara,Kew East,21167,3102,1654000.0
82,Boroondara,Mont Albert,27307,3127,1838000.0
83,Boroondara,Surrey Hills,38357,3127,1676000.0
84,Darebin,Coburg,9707,3058,778000.0
